node1,node2,weight
ATF6,CDH1,0.862719397452577
CDH1,DLG1,0.860318424929453
ATF6,EEF1A1,0.582004419710803
DLG1,EEF1A1,0.630660412123145
ATF6,ERBB3,0.24496405839787
CDH1,GRIK2,0.0157634502583266
ERBB3,GRIK2,0.0977012109985675
CDH1,HBA2,0.76378693686916
CDH1,MAP2K4,0.307307991679866
ERBB3,MAP2K4,0.571413505947571
GRIK2,MAP2K4,0.797642473089152
CDH1,MAP3K1,0.925831991425591
MAP2K4,MAP3K1,0.212971731040029
MAP3K1,MYB,0.547108937357328
ATF6,PIK3CA,0.941665339205599
CDH1,PIK3CA,0.999999999999948
DLG1,PIK3CA,0.61663310471198
DLST,PIK3CA,0.789475494068516
E2F1,PIK3CA,0.978622843308747
EEF1A1,PIK3CA,0.58193653073888
ERBB3,PIK3CA,0.949745968551459
GRIK2,PIK3CA,0.181461574678959
HBA2,PIK3CA,0.639546357563649
HDAC1,PIK3CA,0.343833976093695
MAP2K4,PIK3CA,0.999991399905535
MAP3K1,PIK3CA,0.999999997848905
MYB,PIK3CA,0.949217768153174
CDH1,PIK3R1,0.697871204045236
ERBB3,PIK3R1,0.733817875737777
PIK3CA,PIK3R1,0.980403178222952
CDH1,PPA1,0.586038972325335
MAP3K1,PPA1,0.589310230896774
CDH1,PTEN,0.783303357889904
ERBB3,PTEN,0.766042121248135
MAP3K1,PTEN,0.902289598380285
PIK3CA,PTEN,0.982689028638154
CDH1,RB1,0.637431353996332
DLST,RB1,0.962435940004102
MYB,RB1,0.92787352362635
PIK3CA,RB1,0.979472358287593
CDH1,RHOA,0.535642279687427
ERBB3,RHOA,0.31010085459008
GRIK2,RHOA,0.195547264158832
PIK3CA,RHOA,0.594577644046069
ATF6,RUNX1,0.592212117633106
CDH1,RUNX1,0.997504347466948
ERBB3,RUNX1,0.161478066639581
MAP3K1,RUNX1,0.905738645708041
PIK3CA,RUNX1,0.997863740625452
PTEN,RUNX1,0.714725617897467
CDH1,SMAD2,0.347188275142196
ERBB3,SMAD2,0.791133272510078
MAP2K4,SMAD2,0.653008047054456
PIK3CA,SMAD2,0.891017053296986
RUNX1,SMAD2,0.91672257646132
CDH1,SMAD4,0.89317634012983
ATF6,TP53,0.560696370848947
CDH1,TP53,0.99656556112782
DLG1,TP53,0.876736545885415
DLST,TP53,0.685519420918774
EEF1A1,TP53,0.816346775457719
ERBB3,TP53,0.89879052174993
GRIK2,TP53,0.711060588721045
HDAC1,TP53,0.724209735316378
MAP2K4,TP53,0.935234045821381
MAP3K1,TP53,0.990729889903054
PIK3CA,TP53,1.0
PIK3R1,TP53,0.370255707600219
PPA1,TP53,0.929509973805933
PTEN,TP53,0.998249502081885
RB1,TP53,0.999912218751165
RHOA,TP53,0.454016694459433
RUNX1,TP53,0.998283979194213
SMAD2,TP53,0.915263580431614
CDH1,UBC,0.611628720186912
DLG1,UBC,0.605721081923744
EEF1A1,UBC,0.560093670574352
MAP2K4,UBC,0.58289398373485
PIK3CA,UBC,0.915594164279541
PIK3R1,UBC,0.0265325490202655
TP53,UBC,0.497156387824103
CDH1,VAV3,0.693264648243251
ERBB3,VAV3,0.590867578180061
PIK3CA,VAV3,0.62972895494006
PTEN,VAV3,0.598259385599104
RUNX1,VAV3,0.815702310517707
TP53,VAV3,0.868809294371586
